Entity,Code,Year,Temperature anomaly,Oceanic Niño Index (ONI) anomaly
October,,2019,0.4528551,0.19
October,,2020,0.37566376,-0.89
October,,2021,0.42101574,-0.67
October,,2022,0.40864563,-1.01
October,,2023,0.8495197,1.56
October,,2024,0.7986078,-0.21
September,,1940,-0.6347742,
September,,1941,-0.8541212,
September,,1942,-0.7412548,
September,,1943,-0.7097311,
September,,1944,-0.41241074,
September,,1945,-0.5257206,
September,,1946,-0.65384483,
September,,1947,-0.69172,
September,,1948,-0.7159023,
September,,1949,-0.6333294,
September,,1950,-0.66482544,-0.42
September,,1951,-0.49286175,0.89
September,,1952,-0.6126194,0
September,,1953,-0.6320429,0.73
September,,1954,-0.87515736,-0.84
September,,1955,-0.6834698,-0.75
September,,1956,-0.92163944,-0.55
September,,1957,-0.53384686,1.32
September,,1958,-0.6557627,0.43
September,,1959,-0.70442104,-0.28
September,,1960,-0.6237612,0.24
September,,1961,-0.51615715,-0.13
September,,1962,-0.64635086,-0.07
September,,1963,-0.4472847,1.14
September,,1964,-0.89646626,-0.66
September,,1965,-0.72245884,1.54
September,,1966,-0.6010771,0.12
September,,1967,-0.58196354,-0.16
September,,1968,-0.7426176,0.53
September,,1969,-0.5782232,0.51
September,,1970,-0.6132612,-0.76
September,,1971,-0.6799574,-0.77
September,,1972,-0.5491123,1.37
September,,1973,-0.5928221,-1.28
September,,1974,-0.7940941,-0.37
September,,1975,-0.8397846,-1.2
September,,1976,-0.6972208,0.35
September,,1977,-0.6454325,0.42
September,,1978,-0.6847372,-0.42
September,,1979,-0.376359,0.17
September,,1980,-0.36777592,0.03
September,,1981,-0.33603668,-0.25
September,,1982,-0.46557617,1.07
September,,1983,-0.19696712,-0.08
September,,1984,-0.48609352,-0.16
September,,1985,-0.5208702,-0.46
September,,1986,-0.52695084,0.44
September,,1987,-0.22409725,1.7
September,,1988,-0.1873064,-1.11
September,,1989,-0.28293705,-0.27
September,,1990,-0.23057461,0.38
September,,1991,-0.20186901,0.64
September,,1992,-0.6091318,0.09
September,,1993,-0.51664925,0.25
September,,1994,-0.23872185,0.43
September,,1995,-0.20063305,-0.54
September,,1996,-0.32755566,-0.32
September,,1997,-0.06467819,1.9
September,,1998,-0.05279255,-1.12
September,,1999,-0.20069408,-1.11
September,,2000,-0.23873329,-0.51
September,,2001,-0.07816315,-0.13
September,,2002,0.005221367,0.86
September,,2003,0.07381439,0.21
September,,2004,-0.040070534,0.64
September,,2005,0.12966347,-0.14
September,,2006,0.04808998,0.3
September,,2007,-0.089821815,-0.81
September,,2008,-0.030119896,-0.23
September,,2009,0.103710175,0.58
September,,2010,0.099030495,-1.35
September,,2011,0.047351837,-0.62
September,,2012,0.11289787,0.37
September,,2013,0.16967964,-0.32
September,,2014,0.18443108,0.07
September,,2015,0.26686192,1.86
September,,2016,0.35773182,-0.54
September,,2017,0.2795391,-0.11
September,,2018,0.1994009,0.23
September,,2019,0.3787241,0.14
September,,2020,0.4334898,-0.57
September,,2021,0.40136528,-0.49
September,,2022,0.3493948,-0.91
September,,2023,0.9306059,1.32
September,,2024,0.7279062,-0.11
